description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires,solution,prevention,duree
Demande d'intervention : le wifi est très lent et instable Cela se produit souvent.,reseau,depannage,haute,Mauvaise configuration des paramètres réseau,Réseau,"[""Câble RJ45 5m""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Mettre à jour le firmware des équipements réseau.,1.0
La charnière du laptop est cassée Le client est inquiet.,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.5
Intervention requise : le processeur surchauffe pc très lent Cela se produit souvent.,hardware,reparation,haute,Défaillance matérielle due à l'usure,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,3.0
Suite à un appel client : le disque dur fait un bruit de cliquetis,hardware,reparation,haute,Court-circuit dans l'alimentation,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.0
Configuration d'un réseau WiFi sécurisé WPA3 Problème urgent.,reseau,configuration,normale,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.0
Client signale : configuration qos pour prioriser les appels Cela bloque le travail.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Documenter la configuration réseau pour faciliter les interventions futures.,2.0
Problème signalé : l'ordinateur chauffe excessivement Cela se produit souvent.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Suite à un appel client : windows ne démarre plus écran bleu Le client est inquiet.,software,reparation,critique,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.5
Signalement client : l'écran tactile ne répond plus Le client a besoin d'aide.,hardware,reparation,haute,Composant électronique endommagé,Hardware,"[""Connecteur de charge""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,1.5
Client signale : le réseau local est très lent Le client est inquiet.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.5
Configuration des droits d'accès utilisateurs Problème urgent.,software,configuration,normale,Conflit entre logiciels installés,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Installer un antivirus fiable et le maintenir à jour.,1.5
Demande d'intervention : deux réseaux à fusionner après déménagement Cela se produit souvent.,reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Vérifier régulièrement les câbles et connexions réseau.,3.0
Le processeur est surchargé température critique depuis ce matin.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,0.5
Suite à un appel client : nettoyage complet du système après infection Cela se produit souvent.,software,configuration,haute,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Effectuer des sauvegardes régulières sur disque externe ou cloud.,0.5
Intervention requise : câblage réseau rj45 à installer Problème urgent.,reseau,installation,faible,Équipement réseau défaillant,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,4.0
Le client indique que le lecteur CD DVD n'ouvre plus Problème urgent.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,0.5
Signalement client : sécurisation contre les intrusions réseau Problème urgent.,reseau,depannage,faible,Mauvaise configuration des paramètres réseau,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Vérifier régulièrement les câbles et connexions réseau.,0.5
Problème de compatibilité après mise à jour Le client est inquiet.,software,installation,normale,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.5
Le client se plaint que l'écran du laptop est fissuré Merci d'intervenir rapidement.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Écran LCD 15.6\""""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.5
Problème signalé : le bloc d'alimentation émet des odeurs depuis hier.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,1.5
Signalement client : l'ordinateur ne démarre plus du tout Le client est inquiet.,hardware,reparation,critique,Connexion interne défaillante,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.5
Client signale : le vpn de l'entreprise ne se connecte plus Le client est inquiet.,reseau,depannage,normale,Équipement réseau défaillant,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.0
Signalement client : l'ordinateur est très lent au démarrage Merci d'intervenir rapidement.,software,reparation,haute,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.5
Le client indique que le disque dur externe n'est plus reconnu Le client a besoin d'aide.,hardware,maintenance,faible,Défaillance matérielle due à l'usure,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,0.5
Problème signalé : problème de routage entre deux sites Problème urgent.,reseau,depannage,normale,Équipement réseau défaillant,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.0
Réinstallation complète de Windows Cela bloque le travail.,software,installation,normale,Infection par malware ou virus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.5
Demande d'intervention : le scanner ne détecte plus les documents Le client est inquiet.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Le client se plaint que le disque dur fait un bruit de cliquetis Problème urgent.,hardware,reparation,haute,Composant électronique endommagé,Hardware,"[""Écran LCD 15.6\""""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.0
Intervention requise : le chargeur du laptop est cassé Cela se produit souvent.,hardware,reparation,faible,Dommage physique suite à choc,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.5
Suite à un appel client : le pc redémarre aléatoirement depuis hier.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Client signale : impossible d'accéder à certains dossiers Cela bloque le travail.,software,reparation,faible,Infection par malware ou virus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,2.0
Le client se plaint que l'antivirus ne peut pas supprimer les menaces Le client a besoin d'aide.,software,installation,haute,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,0.5
Demande d'intervention : le switch réseau tombe en panne Le client est inquiet.,reseau,installation,faible,Équipement réseau défaillant,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,5.0
Suite à un appel client : mise en place d'un réseau local pour bureaux depuis hier.,reseau,installation,normale,Problème de sécurité réseau,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,3.0
Suite à un appel client : le touchpad du laptop est bloqué Le client est inquiet.,hardware,reparation,critique,Dommage physique suite à choc,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Le client se plaint que la carte graphique affiche des artefacts Cela bloque le travail.,hardware,maintenance,faible,Court-circuit dans l'alimentation,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Suite à un appel client : le processeur est surchargé température critique,hardware,reparation,normale,Vieillissement de la batterie,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,3.0
Intervention requise : pas de connexion internet câble branché Cela bloque le travail.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 5m""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,1.0
Demande d'intervention : l'ordinateur est infecté par un ransomware Le client a besoin d'aide.,software,configuration,critique,Licence expirée ou fichiers corrompus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,0.5
Demande d'intervention : le bouton d'alimentation ne répond plus depuis ce matin.,hardware,reparation,haute,Court-circuit dans l'alimentation,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,1.5
L'ordinateur ne démarre plus du tout Le client est inquiet.,hardware,reparation,critique,Court-circuit dans l'alimentation,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.5
Intervention requise : sécurisation du réseau wifi entreprise Cela se produit souvent.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Surveiller la bande passante et optimiser l'utilisation.,2.0
Intervention requise : l'écran du laptop est fissuré Le client est inquiet.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.5
Le client se plaint que la carte réseau intégrée ne fonctionne plus Cela bloque le travail.,hardware,reparation,critique,Surchauffe causée par poussière accumulée,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.5
Problème signalé : le logiciel métier affiche erreur base de données Le client est inquiet.,software,configuration,haute,Mise à jour défectueuse du système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.5
Demande d'intervention : le chargeur du laptop est cassé depuis hier.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,3.0
Le processeur est surchargé température critique depuis hier.,hardware,maintenance,faible,Défaillance matérielle due à l'usure,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Intervention requise : configuration d'un réseau wifi sécurisé wpa3,reseau,configuration,normale,Équipement réseau défaillant,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,1.0
Intervention requise : le logiciel erp ne se lance plus Le client est inquiet.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,2.0
Le lecteur CD DVD n'ouvre plus depuis ce matin.,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,0.5
Le client indique que le ventilateur fait un bruit très fort depuis ce matin.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Intervention requise : configuration accès distant rdp Le client est inquiet.,reseau,configuration,normale,Mauvaise configuration des paramètres réseau,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,1.0
Problème signalé : le serveur de messagerie est inaccessible Cela bloque le travail.,reseau,depannage,faible,Câblage endommagé ou mal branché,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,0.5
Signalement client : erreur critique au démarrage du système Merci d'intervenir rapidement.,software,configuration,haute,Conflit entre logiciels installés,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.5
Le client se plaint que la box internet clignote en rouge,reseau,depannage,normale,Mauvaise configuration des paramètres réseau,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,1.5
Problème signalé : la batterie gonfle et déforme le boîtier Merci d'intervenir rapidement.,hardware,reparation,faible,Court-circuit dans l'alimentation,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.0
Demande d'intervention : remplacement d'un switch défaillant Le client est inquiet.,reseau,configuration,normale,Câblage endommagé ou mal branché,Réseau,"[""Câble RJ45 5m""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.5
Le client indique que câblage réseau RJ45 à installer Le client a besoin d'aide.,reseau,installation,faible,Problème de sécurité réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Surveiller la bande passante et optimiser l'utilisation.,2.5
La webcam intégrée n'est plus détectée Le client a besoin d'aide.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,1.0
Suite à un appel client : les drivers de la carte graphique sont corrompus Problème urgent.,software,reparation,faible,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,1.5
Signalement client : outlook ne se synchronise plus avec le mail Problème urgent.,software,reparation,normale,Surcharge mémoire et fragmentation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,2.0
Le logiciel de comptabilité plante,software,reparation,haute,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,1.0
Sécurisation contre les intrusions réseau Merci d'intervenir rapidement.,reseau,installation,normale,Surcharge de la bande passante,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.5
Problème signalé : la carte graphique ne s'affiche plus Le client a besoin d'aide.,hardware,reparation,faible,Composant électronique endommagé,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.5
Le client se plaint que l'imprimante bourre constamment le papier,hardware,maintenance,haute,Vieillissement de la batterie,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,0.5
Demande d'intervention : problème de routage entre deux sites Cela se produit souvent.,reseau,depannage,normale,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 5m""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.5
Le client indique que la box internet clignote en rouge Cela se produit souvent.,reseau,depannage,faible,Équipement réseau défaillant,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,0.5
Demande d'intervention : la bande passante est saturée Le client est inquiet.,reseau,installation,normale,Surcharge de la bande passante,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,4.0
Le client indique que configuration du proxy pour internet Le client a besoin d'aide.,reseau,configuration,normale,Équipement réseau défaillant,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,1.5
Problème signalé : le clavier ne fonctionne plus depuis ce matin.,hardware,reparation,critique,Connexion interne défaillante,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Demande d'intervention : l'ordinateur chauffe excessivement,hardware,reparation,normale,Composant électronique endommagé,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,3.0
Demande d'intervention : la carte mère émet des bips au démarrage Problème urgent.,hardware,maintenance,normale,Court-circuit dans l'alimentation,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,0.5
Impossible d'accéder à certains dossiers depuis ce matin.,software,configuration,normale,Licence expirée ou fichiers corrompus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.5
Problème signalé : installation d'un câble fibre optique Cela se produit souvent.,reseau,installation,normale,Problème de sécurité réseau,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Surveiller la bande passante et optimiser l'utilisation.,2.0
Le logiciel de caisse ne fonctionne plus Cela se produit souvent.,software,reparation,critique,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,3.0
Client signale : l'écran du laptop est fissuré Problème urgent.,hardware,reparation,normale,Vieillissement de la batterie,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.5
Intervention requise : impossible d'installer un logiciel Le client est inquiet.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,1.5
Suite à un appel client : le logiciel de caisse ne fonctionne plus Le client est inquiet.,software,reparation,critique,Corruption du système d'exploitation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,2.0
Le client indique que câblage réseau RJ45 à installer Cela se produit souvent.,reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Documenter la configuration réseau pour faciliter les interventions futures.,4.0
Demande d'intervention : l'imprimante imprime des pages vides Cela se produit souvent.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Problème signalé : écran bleu fréquent ram peut-être défectueuse,hardware,reparation,critique,Défaillance matérielle due à l'usure,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.5
La charnière du laptop est cassée,hardware,reparation,faible,Court-circuit dans l'alimentation,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.0
Client signale : le système ne reconnaît plus le disque dur,software,installation,faible,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,1.0
Demande d'intervention : la webcam intégrée n'est plus détectée depuis hier.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.0
Demande d'intervention : la carte mère émet des bips au démarrage Merci d'intervenir rapidement.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Suite à un appel client : les mises à jour automatiques échouent Le client a besoin d'aide.,software,installation,normale,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.0
Signalement client : installation d'un nouveau système d'exploitation,software,installation,normale,Conflit entre logiciels installés,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Le haut-parleur ne produit aucun son,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.5
