description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires
Le client indique que le disque SSD n'est plus reconnu par le BIOS depuis hier.,hardware,reparation,faible,Connexion interne défaillante,Hardware,"[""Alimentation 500W""]"
Le serveur de messagerie est inaccessible depuis ce matin.,reseau,depannage,faible,Surcharge de la bande passante,Réseau,[]
La batterie du laptop ne charge plus depuis ce matin.,hardware,maintenance,haute,Vieillissement de la batterie,Généraliste,[]
Le client indique que la carte réseau intégrée ne fonctionne plus,hardware,reparation,haute,Vieillissement de la batterie,Hardware,"[""Clavier laptop""]"
Intervention requise : le touchpad du laptop est bloqué Cela se produit souvent.,hardware,maintenance,critique,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Le client indique que configuration du démarrage automatique Problème récurrent.,software,reparation,faible,Erreur de configuration système,Software,[]
Client signale : le vpn de l'entreprise ne se connecte plus depuis ce matin.,reseau,depannage,normale,Problème de sécurité réseau,Généraliste,"[""Câble RJ45 5m""]"
Client signale : le logiciel métier affiche erreur base de données Le client a besoin d'aide.,software,installation,haute,Licence expirée ou fichiers corrompus,Généraliste,[]
Intervention requise : les mises à jour automatiques échouent depuis hier.,software,installation,faible,Infection par malware ou virus,Software,[]
Sécurisation contre les intrusions réseau Problème récurrent.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Généraliste,[]
Le client indique que les drivers de la carte graphique sont corrompus Problème urgent.,software,installation,faible,Mise à jour défectueuse du système,Généraliste,[]
Client signale : excel affiche des erreurs de calcul Problème récurrent.,software,installation,haute,Mise à jour défectueuse du système,Software,[]
Problème signalé : impossible d'accéder à certains dossiers Problème urgent.,software,configuration,normale,Conflit entre logiciels installés,Software,[]
Intervention requise : la carte mère émet des bips au démarrage Problème récurrent.,hardware,maintenance,faible,Composant électronique endommagé,Généraliste,"[""Pâte thermique""]"
Client signale : la carte mère émet des bips au démarrage Problème urgent.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]"
Signalement client : le routeur ne distribue plus d'adresses ip Problème urgent.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]"
Intervention requise : sécurisation contre les intrusions réseau depuis ce matin.,reseau,configuration,faible,Surcharge de la bande passante,Généraliste,"[""Switch 8 ports""]"
Problème signalé : adobe acrobat plante à l'ouverture,software,reparation,normale,Erreur de configuration système,Généraliste,[]
Le client indique que les drivers de la carte graphique sont corrompus depuis ce matin.,software,reparation,normale,Mise à jour défectueuse du système,Généraliste,[]
Le système de sauvegarde automatique est arrêté Problème récurrent.,software,reparation,normale,Conflit entre logiciels installés,Généraliste,[]
"Boucle réseau détectée, réseau instable Problème urgent.",reseau,configuration,haute,Équipement réseau défaillant,Généraliste,[]
Configuration d'un serveur DHCP Problème urgent.,reseau,depannage,normale,Problème de sécurité réseau,Généraliste,[]
Remplacement d'un switch défaillant depuis hier.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Généraliste,[]
"Client signale : boucle réseau détectée, réseau instable depuis hier.",reseau,depannage,haute,Problème de sécurité réseau,Réseau,"[""Câble RJ45 5m""]"
Client signale : impossible de se connecter au réseau Le client a besoin d'aide.,reseau,installation,faible,Problème de sécurité réseau,Généraliste,"[""Point d'accès WiFi""]"
Le client indique que la batterie gonfle et déforme le boîtier depuis hier.,hardware,maintenance,faible,Surchauffe causée par poussière accumulée,Hardware,[]
Intervention requise : le bloc d'alimentation émet des odeurs Problème récurrent.,hardware,maintenance,faible,Court-circuit dans l'alimentation,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Excel affiche des erreurs de calcul depuis ce matin.,software,configuration,normale,Mise à jour défectueuse du système,Généraliste,[]
Problème signalé : la batterie gonfle et déforme le boîtier depuis ce matin.,hardware,reparation,faible,Court-circuit dans l'alimentation,Généraliste,"[""RAM DDR4 8GB""]"
Intervention requise : la carte graphique ne s'affiche plus Le client a besoin d'aide.,hardware,maintenance,normale,Vieillissement de la batterie,Hardware,"[""Pâte thermique""]"
Intervention requise : sécurisation contre les intrusions réseau,reseau,configuration,normale,Câblage endommagé ou mal branché,Généraliste,"[""Câble RJ45 5m""]"
Intervention requise : configuration accès distant rdp depuis hier.,reseau,installation,normale,Problème de sécurité réseau,Généraliste,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Le client indique que configuration d'un nouveau point d'accès WiFi depuis hier.,reseau,depannage,normale,Incompatibilité de protocoles réseau,Généraliste,[]
Signalement client : récupération de données après formatage depuis hier.,software,configuration,haute,Conflit entre logiciels installés,Généraliste,[]
Problème signalé : le bloc d'alimentation émet des odeurs depuis hier.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]"
Intervention requise : la webcam intégrée n'est plus détectée depuis hier.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Le client indique que la souris ne répond plus Le client a besoin d'aide.,hardware,maintenance,normale,Dommage physique suite à choc,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
La webcam intégrée n'est plus détectée depuis ce matin.,hardware,reparation,normale,Dommage physique suite à choc,Généraliste,[]
Client signale : l'imprimante bourre constamment le papier depuis hier.,hardware,maintenance,normale,Vieillissement de la batterie,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Le client indique que le clavier ne fonctionne plus Le client a besoin d'aide.,hardware,reparation,critique,Vieillissement de la batterie,Hardware,"[""Câble d'alimentation""]"
L'ordinateur est infecté par un ransomware,software,configuration,critique,Mise à jour défectueuse du système,Software,[]
Le client indique que l'ordinateur ne démarre plus du tout depuis hier.,hardware,maintenance,haute,Dommage physique suite à choc,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Signalement client : configuration d'un serveur dhcp depuis ce matin.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,[]
Client signale : le logiciel de facturation perd ses données Cela se produit souvent.,software,installation,faible,Corruption du système d'exploitation,Software,[]
L'écran affiche des lignes horizontales Problème récurrent.,hardware,maintenance,faible,Composant électronique endommagé,Généraliste,"[""Pâte thermique""]"
Signalement client : l'ordinateur ne démarre plus du tout Cela se produit souvent.,hardware,reparation,haute,Surchauffe causée par poussière accumulée,Généraliste,"[""Clavier laptop""]"
Le client indique que installation d'un nouveau routeur fibre Problème urgent.,reseau,configuration,faible,Surcharge de la bande passante,Généraliste,"[""Câble RJ45 5m""]"
Signalement client : le réseau local est très lent depuis hier.,reseau,depannage,haute,Câblage endommagé ou mal branché,Réseau,"[""Câble RJ45 5m""]"
Signalement client : une mise à jour a cassé une application Cela se produit souvent.,software,installation,faible,Infection par malware ou virus,Généraliste,[]
Signalement client : configuration d'un réseau invité séparé,reseau,installation,normale,Équipement réseau défaillant,Réseau,"[""Routeur fibre""]"
Client signale : le système est bloqué en mode sans échec,software,configuration,critique,Mise à jour défectueuse du système,Généraliste,[]
Le client indique que adobe Acrobat plante à l'ouverture Le client a besoin d'aide.,software,installation,haute,Licence expirée ou fichiers corrompus,Généraliste,[]
Intervention requise : microsoft office ne s'ouvre plus,software,configuration,critique,Mise à jour défectueuse du système,Généraliste,[]
Signalement client : configuration d'un serveur dhcp Cela se produit souvent.,reseau,configuration,normale,Équipement réseau défaillant,Généraliste,"[""Câble RJ45 5m""]"
Intervention requise : le logiciel de caisse ne fonctionne plus Cela se produit souvent.,software,configuration,critique,Erreur de configuration système,Généraliste,[]
Intervention requise : le serveur nas n'est plus accessible Problème récurrent.,reseau,depannage,faible,Mauvaise configuration des paramètres réseau,Généraliste,[]
Le disque SSD n'est plus reconnu par le BIOS Cela se produit souvent.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""Connecteur de charge""]"
Client signale : le disque dur externe n'est plus reconnu depuis hier.,hardware,maintenance,faible,Dommage physique suite à choc,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Problème signalé : le clavier du laptop a des touches enfoncées,hardware,maintenance,faible,Dommage physique suite à choc,Hardware,[]
Le client indique que le touchpad du laptop est bloqué,hardware,maintenance,haute,Surchauffe causée par poussière accumulée,Hardware,[]
Le bouton d'alimentation ne répond plus Le client a besoin d'aide.,hardware,reparation,haute,Défaillance matérielle due à l'usure,Généraliste,"[""Écran LCD 15.6\""""]"
Le client indique que le disque dur fait un bruit de cliquetis,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]"
Client signale : migration de windows 7 vers windows 10 Problème récurrent.,software,reparation,faible,Licence expirée ou fichiers corrompus,Généraliste,[]
"Problème signalé : la pile cmos est vide, l'heure se réinitialise Problème récurrent.",hardware,maintenance,normale,Vieillissement de la batterie,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Client signale : le réseau local est très lent Cela se produit souvent.,reseau,installation,haute,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Signalement client : le wifi est très lent et instable Problème urgent.,reseau,depannage,normale,Surcharge de la bande passante,Généraliste,"[""Câble RJ45 5m""]"
Problème signalé : outlook ne se synchronise plus avec le mail depuis ce matin.,software,reparation,normale,Licence expirée ou fichiers corrompus,Software,[]
Le client indique que migration de Windows 7 vers Windows 10 Problème récurrent.,software,reparation,normale,Corruption du système d'exploitation,Software,[]
Problème signalé : le ventilateur fait un bruit très fort Cela se produit souvent.,hardware,reparation,haute,Défaillance matérielle due à l'usure,Généraliste,"[""Clavier laptop""]"
Le client indique que l'ordinateur est infecté par un ransomware depuis hier.,software,reparation,critique,Conflit entre logiciels installés,Software,[]
Signalement client : le logiciel de facturation perd ses données Cela se produit souvent.,software,installation,faible,Surcharge mémoire et fragmentation,Généraliste,[]
Client signale : adobe acrobat plante à l'ouverture Le client a besoin d'aide.,software,installation,haute,Conflit entre logiciels installés,Généraliste,[]
Le client indique que problème de compatibilité après mise à jour Le client a besoin d'aide.,software,reparation,normale,Mise à jour défectueuse du système,Généraliste,[]
Intervention requise : installation d'un câble fibre optique Le client a besoin d'aide.,reseau,installation,faible,Câblage endommagé ou mal branché,Généraliste,"[""Routeur fibre""]"
Signalement client : l'ordinateur chauffe excessivement Problème urgent.,hardware,reparation,faible,Dommage physique suite à choc,Hardware,"[""Alimentation 500W""]"
Intervention requise : redirection de port sur le routeur depuis hier.,reseau,installation,faible,Problème de sécurité réseau,Généraliste,"[""Routeur fibre""]"
Le client indique que l'écran du laptop est fissuré depuis hier.,hardware,maintenance,normale,Composant électronique endommagé,Généraliste,"[""Pâte thermique""]"
Signalement client : perte de paquets réseau fréquente,reseau,depannage,faible,Équipement réseau défaillant,Réseau,"[""Switch 8 ports""]"
Intervention requise : récupération de données après formatage Cela se produit souvent.,software,installation,critique,Corruption du système d'exploitation,Software,[]
Client signale : excel affiche des erreurs de calcul Problème récurrent.,software,configuration,haute,Corruption du système d'exploitation,Software,[]
Intervention requise : la souris ne répond plus Problème récurrent.,hardware,maintenance,normale,Vieillissement de la batterie,Hardware,[]
Le client indique que outlook ne se synchronise plus avec le mail depuis ce matin.,software,configuration,normale,Erreur de configuration système,Généraliste,[]
"Signalement client : problème de dns, sites web ne chargent pas Cela se produit souvent.",reseau,installation,normale,Interférence WiFi avec autres équipements,Généraliste,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Signalement client : les drivers de la carte graphique sont corrompus depuis ce matin.,software,configuration,normale,Surcharge mémoire et fragmentation,Software,[]
Signalement client : l'écran reste noir après allumage Cela se produit souvent.,hardware,maintenance,normale,Composant électronique endommagé,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Le client indique que récupération de données après formatage Problème récurrent.,software,reparation,critique,Licence expirée ou fichiers corrompus,Généraliste,[]
Intervention requise : le scanner ne détecte plus les documents Le client a besoin d'aide.,hardware,maintenance,normale,Vieillissement de la batterie,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Intervention requise : les fichiers ont disparu après une mise à jour Cela se produit souvent.,software,configuration,normale,Erreur de configuration système,Software,[]
Intervention requise : le disque dur fait un bruit de cliquetis,hardware,reparation,haute,Connexion interne défaillante,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]"
Mise en place d'un réseau local pour bureaux depuis hier.,reseau,depannage,normale,Mauvaise configuration des paramètres réseau,Généraliste,[]
Le scanner ne détecte plus les documents,hardware,maintenance,normale,Court-circuit dans l'alimentation,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Le client indique que le WiFi est très lent et instable Problème récurrent.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 5m""]"
Le client indique que le clavier ne fonctionne plus depuis hier.,hardware,reparation,critique,Court-circuit dans l'alimentation,Généraliste,"[""Écran LCD 15.6\""""]"
Problème signalé : windows à réinstaller suite à corruption,software,configuration,haute,Mise à jour défectueuse du système,Software,[]
Intervention requise : adobe acrobat plante à l'ouverture Problème récurrent.,software,reparation,normale,Surcharge mémoire et fragmentation,Software,[]
Problème signalé : le logiciel erp ne se lance plus Problème urgent.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[]
Problème signalé : impossible d'accéder au serveur de fichiers Problème récurrent.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Client signale : le chargeur du laptop est cassé Problème récurrent.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Généraliste,"[""Pâte thermique""]"
Signalement client : l'antivirus ne peut pas supprimer les menaces,software,reparation,critique,Surcharge mémoire et fragmentation,Généraliste,[]
Client signale : le haut-parleur ne produit aucun son Cela se produit souvent.,hardware,reparation,faible,Connexion interne défaillante,Généraliste,"[""Câble d'alimentation""]"
Signalement client : le système de sauvegarde automatique est arrêté Problème urgent.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[]
L'ordinateur s'éteint tout seul Problème urgent.,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Généraliste,"[""Écran LCD 15.6\""""]"
Intervention requise : l'écran reste noir après allumage depuis ce matin.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Généraliste,[]
Intervention requise : partage d'imprimante réseau impossible Cela se produit souvent.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Généraliste,"[""Câble RJ45 5m""]"
Le disque dur fait un bruit de cliquetis depuis ce matin.,hardware,reparation,haute,Connexion interne défaillante,Hardware,[]
"Signalement client : la pile cmos est vide, l'heure se réinitialise depuis ce matin.",hardware,reparation,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""Écran LCD 15.6\""""]"
L'imprimante imprime des pages vides depuis hier.,hardware,reparation,normale,Dommage physique suite à choc,Généraliste,"[""Disque SSD 256GB"", ""Câble SATA""]"
Le WiFi est très lent et instable depuis ce matin.,reseau,depannage,haute,Problème de sécurité réseau,Généraliste,"[""Switch 8 ports""]"
"Signalement client : windows ne démarre plus, écran bleu Problème urgent.",software,configuration,haute,Licence expirée ou fichiers corrompus,Software,[]
Client signale : récupération de données après formatage depuis hier.,software,configuration,critique,Mise à jour défectueuse du système,Software,[]
Problème signalé : le vpn de l'entreprise ne se connecte plus depuis ce matin.,reseau,installation,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Client signale : le logiciel métier affiche erreur base de données Le client a besoin d'aide.,software,installation,haute,Erreur de configuration système,Software,[]
Client signale : windows update bloqué depuis plusieurs jours depuis ce matin.,software,reparation,haute,Conflit entre logiciels installés,Généraliste,[]
Signalement client : perte de paquets réseau fréquente Problème urgent.,reseau,depannage,faible,Équipement réseau défaillant,Généraliste,"[""Switch 8 ports""]"
Intervention requise : configuration qos pour prioriser les appels depuis hier.,reseau,installation,normale,Surcharge de la bande passante,Généraliste,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Le client indique que le système est bloqué sur l'écran de connexion Problème récurrent.,software,reparation,critique,Conflit entre logiciels installés,Généraliste,[]
Le client indique que la souris ne répond plus depuis hier.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,[]
Intervention requise : le logiciel de caisse ne fonctionne plus depuis hier.,software,configuration,haute,Surcharge mémoire et fragmentation,Software,[]
Client signale : le serveur de messagerie est inaccessible Le client a besoin d'aide.,reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Routeur fibre""]"
Configuration du proxy pour internet Problème urgent.,reseau,depannage,normale,Surcharge de la bande passante,Généraliste,[]
Signalement client : le ventilateur fait un bruit très fort Le client a besoin d'aide.,hardware,reparation,haute,Composant électronique endommagé,Généraliste,"[""RAM DDR4 8GB""]"
Remplacement d'un switch défaillant Cela se produit souvent.,reseau,depannage,faible,Surcharge de la bande passante,Généraliste,"[""Switch 8 ports""]"
Windows Update bloqué depuis plusieurs jours,software,configuration,critique,Licence expirée ou fichiers corrompus,Software,[]
Problème signalé : le pare-feu bloque une application métier Problème urgent.,software,installation,normale,Erreur de configuration système,Software,[]
Problème signalé : l'écran reste noir après allumage,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Signalement client : erreur 0x80070057 lors d'une opération windows depuis ce matin.,software,configuration,normale,Erreur de configuration système,Généraliste,[]
Excel affiche des erreurs de calcul Problème urgent.,software,installation,normale,Conflit entre logiciels installés,Software,[]
Intervention requise : le ventilateur fait un bruit très fort,hardware,reparation,normale,Vieillissement de la batterie,Hardware,"[""Câble d'alimentation""]"
Intervention requise : le vpn de l'entreprise ne se connecte plus depuis hier.,reseau,depannage,normale,Équipement réseau défaillant,Généraliste,[]
Problème signalé : l'alimentation électrique ne démarre pas depuis hier.,hardware,maintenance,faible,Composant électronique endommagé,Généraliste,[]
Intervention requise : l'écran reste noir après allumage Cela se produit souvent.,hardware,reparation,normale,Dommage physique suite à choc,Généraliste,"[""Disque dur HDD 1TB""]"
Client signale : les drivers de la carte graphique sont corrompus depuis ce matin.,software,installation,faible,Corruption du système d'exploitation,Software,[]
"Signalement client : boucle réseau détectée, réseau instable depuis hier.",reseau,installation,haute,Incompatibilité de protocoles réseau,Généraliste,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Problème signalé : configuration des droits d'accès utilisateurs Cela se produit souvent.,software,configuration,normale,Conflit entre logiciels installés,Généraliste,[]
Client signale : remplacement d'un switch défaillant Problème récurrent.,reseau,depannage,faible,Câblage endommagé ou mal branché,Réseau,[]
Signalement client : les fichiers ont disparu après une mise à jour,software,reparation,normale,Infection par malware ou virus,Généraliste,[]
Le client indique que l'ordinateur chauffe excessivement Problème urgent.,hardware,maintenance,faible,Court-circuit dans l'alimentation,Généraliste,[]
Problème signalé : l'antivirus ne peut pas supprimer les menaces Le client a besoin d'aide.,software,installation,haute,Licence expirée ou fichiers corrompus,Software,[]
Signalement client : le scanner ne détecte plus les documents depuis hier.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Écran LCD 15.6\""""]"
"Problème signalé : pas de connexion internet, câble branché depuis hier.",reseau,configuration,faible,Problème de sécurité réseau,Généraliste,"[""Switch 8 ports""]"
Problème signalé : le serveur de messagerie est inaccessible Le client a besoin d'aide.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Point d'accès WiFi""]"
Configuration d'un serveur DHCP depuis ce matin.,reseau,configuration,normale,Équipement réseau défaillant,Généraliste,[]
Le client indique que le serveur de messagerie est inaccessible Cela se produit souvent.,reseau,configuration,faible,Câblage endommagé ou mal branché,Généraliste,[]
Intervention requise : l'ordinateur est très lent au démarrage Problème urgent.,software,installation,haute,Mise à jour défectueuse du système,Software,[]
Adobe Acrobat plante à l'ouverture Problème urgent.,software,configuration,haute,Surcharge mémoire et fragmentation,Software,[]
Client signale : le réseau local est très lent depuis hier.,reseau,depannage,haute,Câblage endommagé ou mal branché,Généraliste,"[""Câble RJ45 5m""]"
Client signale : remplacement d'un switch défaillant Problème récurrent.,reseau,configuration,faible,Interférence WiFi avec autres équipements,Réseau,[]
Le client indique que installation d'un câble fibre optique depuis ce matin.,reseau,depannage,normale,Câblage endommagé ou mal branché,Généraliste,"[""Switch 8 ports""]"
Signalement client : sécurisation contre les intrusions réseau Problème récurrent.,reseau,depannage,faible,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 5m""]"
Configuration accès distant RDP depuis ce matin.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 5m""]"
Intervention requise : l'ordinateur chauffe excessivement depuis ce matin.,hardware,reparation,faible,Vieillissement de la batterie,Généraliste,"[""Clavier laptop""]"
Le client indique que l'ordinateur chauffe excessivement Le client a besoin d'aide.,hardware,maintenance,faible,Dommage physique suite à choc,Généraliste,"[""Pâte thermique""]"
Problème signalé : impossible d'accéder au serveur de fichiers Cela se produit souvent.,reseau,depannage,normale,Câblage endommagé ou mal branché,Généraliste,"[""Switch 8 ports""]"
Le client indique que la carte mère émet des bips au démarrage,hardware,reparation,faible,Dommage physique suite à choc,Généraliste,"[""Disque SSD 256GB"", ""Câble SATA""]"
Problème signalé : installation d'un nouveau routeur fibre depuis hier.,reseau,installation,faible,Surcharge de la bande passante,Généraliste,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Signalement client : le profil utilisateur est corrompu Cela se produit souvent.,software,installation,normale,Surcharge mémoire et fragmentation,Généraliste,[]
Le routeur ne distribue plus d'adresses IP,reseau,depannage,faible,Surcharge de la bande passante,Réseau,"[""Câble RJ45 5m""]"
Problème signalé : impossible d'accéder à certains dossiers Problème urgent.,software,reparation,faible,Mise à jour défectueuse du système,Software,[]
Intervention requise : les fichiers ont disparu après une mise à jour depuis ce matin.,software,reparation,faible,Conflit entre logiciels installés,Software,[]
"Signalement client : boucle réseau détectée, réseau instable",reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
"Intervention requise : le processeur surchauffe, pc très lent depuis ce matin.",hardware,reparation,haute,Défaillance matérielle due à l'usure,Hardware,"[""Disque dur HDD 1TB""]"
Problème signalé : le pc redémarre aléatoirement,hardware,reparation,faible,Court-circuit dans l'alimentation,Généraliste,"[""Disque dur HDD 1TB""]"
Intervention requise : l'ordinateur ne démarre plus du tout depuis ce matin.,hardware,reparation,haute,Dommage physique suite à choc,Hardware,"[""Clavier laptop""]"
Client signale : le disque dur fait un bruit de cliquetis Problème urgent.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Écran LCD 15.6\""""]"
Signalement client : le disque ssd n'est plus reconnu par le bios depuis hier.,hardware,maintenance,faible,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Le client indique que le disque dur fait un bruit de cliquetis Cela se produit souvent.,hardware,reparation,normale,Composant électronique endommagé,Généraliste,"[""Écran LCD 15.6\""""]"
Intervention requise : les drivers de la carte graphique sont corrompus Le client a besoin d'aide.,software,reparation,faible,Erreur de configuration système,Généraliste,[]
Impossible d'installer un logiciel depuis hier.,software,reparation,normale,Mise à jour défectueuse du système,Généraliste,[]
Client signale : la carte mère émet des bips au démarrage depuis hier.,hardware,maintenance,faible,Composant électronique endommagé,Généraliste,"[""Pâte thermique""]"
Client signale : adobe acrobat plante à l'ouverture Cela se produit souvent.,software,installation,haute,Licence expirée ou fichiers corrompus,Généraliste,[]
Client signale : l'ordinateur s'éteint tout seul Problème urgent.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,"[""Pâte thermique""]"
"Signalement client : boucle réseau détectée, réseau instable depuis hier.",reseau,installation,normale,Problème de sécurité réseau,Généraliste,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Intervention requise : le disque dur externe n'est plus reconnu depuis hier.,hardware,maintenance,faible,Connexion interne défaillante,Hardware,"[""Pâte thermique""]"
Le clavier du laptop a des touches enfoncées,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Problème signalé : configuration d'un réseau invité séparé Problème urgent.,reseau,depannage,normale,Incompatibilité de protocoles réseau,Réseau,"[""Switch 8 ports""]"
